Category,Model,Model Year,Manufacturer,Fuel,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Drivetrain
Sedan/Wagon,NSX,2022.0,Acura,Hybrid Electric,,,21.0,21.0,AWD
Sedan/Wagon,A3 ,2022.0,Audi,Hybrid Electric,,,29.0,32.0,FWD
Sedan/Wagon,A3 quattro,2022.0,Audi,Hybrid Electric,,,28.0,31.0,AWD
Sedan/Wagon,A4 allroad quattro,2022.0,Audi,Hybrid Electric,,,24.0,26.0,AWD
Sedan/Wagon,A4 quattro,2022.0,Audi,Hybrid Electric,,,26.0,29.0,AWD
Sedan/Wagon,A4 S line quattro,2022.0,Audi,Hybrid Electric,,,24.0,27.0,AWD
Sedan/Wagon,A5 Cabriolet quattro,2022.0,Audi,Hybrid Electric,,,23.0,26.0,AWD
Sedan/Wagon,A5 Coupe quattro,2022.0,Audi,Hybrid Electric,,,24.0,27.0,AWD
Sedan/Wagon,A5 Sportback quattro,2022.0,Audi,Hybrid Electric,,,26.0,29.0,AWD
Sedan/Wagon,A5 Sportback S line quattro,2022.0,Audi,Hybrid Electric,,,24.0,27.0,AWD
Sedan/Wagon,A6 Allroad quattro,2022.0,Audi,Hybrid Electric,,,21.0,23.0,AWD
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,,,21.0,24.0,AWD
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,,,23.0,26.0,AWD
Sedan/Wagon,A7 quattro,2022.0,Audi,Hybrid Electric,,,21.0,24.0,AWD
Sedan/Wagon,A7 TFSI e quattro,2022.0,Audi,Plug-in Hybrid Electric,,70.0,25.0,27.0,AWD
Sedan/Wagon,A8L quattro,2022.0,Audi,Hybrid Electric,,,19.0,22.0,AWD
Sedan/Wagon,e-tron GT,2022.0,Audi,Electric,81.0,82.0,,,AWD
SUV,e-tron quattro,2022.0,Audi,Electric,78.0,78.0,,,AWD
SUV,"e-tron S (20"" wheels)",2022.0,Audi,Electric,72.0,73.0,,,AWD
SUV,"e-tron S (21"" or 22"" wheels)",2022.0,Audi,Electric,62.0,63.0,,,AWD
SUV,e-tron Sportback quattro,2022.0,Audi,Electric,76.0,77.0,,,AWD
SUV,"e-tron S Sportback (20"" wheels)",2022.0,Audi,Electric,73.0,75.0,,,AWD
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022.0,Audi,Electric,64.0,65.0,,,AWD
SUV,Q4 e-tron quattro,2022.0,Audi,Electric,100.0,95.0,,,AWD
SUV,Q4 e-tron Sportback quattro,2022.0,Audi,Electric,100.0,95.0,,,AWD
SUV,Q5 quattro,2022.0,Audi,Hybrid Electric,,,23.0,25.0,AWD
SUV,Q5 S line quattro,2022.0,Audi,Hybrid Electric,,,23.0,25.0,AWD
SUV,Q5 Sportback S line quattro,2022.0,Audi,Hybrid Electric,,,23.0,25.0,AWD
Sedan/Wagon,Q5 TFSI e quattro,2022.0,Audi,Plug-in Hybrid Electric,,61.0,25.0,26.0,AWD
SUV,Q7 quattro,2022.0,Audi,Hybrid Electric,,,18.0,20.0,AWD
SUV,Q8 quattro,2022.0,Audi,Hybrid Electric,,,18.0,20.0,AWD
Sedan/Wagon,RS 6 Avant,2022.0,Audi,Hybrid Electric,,,15.0,17.0,AWD
Sedan/Wagon,RS7,2022.0,Audi,Hybrid Electric,,,15.0,17.0,AWD
SUV,RS e-tron GT,2022.0,Audi,Electric,100.0,95.0,,,AWD
Sedan/Wagon,RS Q8,2022.0,Audi,Hybrid Electric,,,13.0,15.0,AWD
Sedan/Wagon,S6,2022.0,Audi,Hybrid Electric,,,18.0,22.0,AWD
Sedan/Wagon,S7,2022.0,Audi,Hybrid Electric,,,18.0,22.0,AWD
Sedan/Wagon,S8,2022.0,Audi,Hybrid Electric,,,14.0,17.0,AWD
Sedan/Wagon,Flying Spur Hybrid,2022.0,Bentley Motors,Plug-in Hybrid Electric,,46.0,17.0,19.0,
Sedan/Wagon,330e Sedan,2022.0,BMW,Plug-in Hybrid Electric,,75.0,25.0,28.0,RWD
Sedan/Wagon,330e xDrive,2022.0,BMW,Plug-in Hybrid Electric,,67.0,22.0,25.0,AWD
Sedan/Wagon,530e Sedan,2022.0,BMW,Plug-in Hybrid Electric,,64.0,24.0,26.0,RWD
Sedan/Wagon,530e xDrive Sedan,2022.0,BMW,Plug-in Hybrid Electric,,62.0,22.0,25.0,AWD
Sedan/Wagon,540i Sedan,2022.0,BMW,Hybrid Electric,,,25.0,27.0,RWD
Sedan/Wagon,540i xDrive Sedan,2022.0,BMW,Hybrid Electric,,,22.0,25.0,AWD
Sedan/Wagon,745e xDrive,2022.0,BMW,Plug-in Hybrid Electric,,56.0,19.0,22.0,AWD
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022.0,BMW,Electric,109.0,109.0,,,RWD
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,100.0,99.0,,,RWD
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,94.0,96.0,,,AWD
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022.0,BMW,Electric,79.0,80.0,,,AWD
