Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
13044,45,9.0,365,NSX,2022,,,21.0,21.0,Acura,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12854,45,9.0,377,A3 ,2022,,,29.0,32.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,FWD
12842,45,9.0,377,A3 quattro,2022,,,28.0,31.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12783,45,9.0,377,A4 allroad quattro,2022,,,24.0,26.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12782,45,9.0,377,A4 quattro,2022,,,26.0,29.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12784,45,9.0,377,A4 S line quattro,2022,,,24.0,27.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12786,45,9.0,377,A5 Cabriolet quattro,2022,,,23.0,26.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12785,45,9.0,377,A5 Coupe quattro,2022,,,24.0,27.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12787,45,9.0,377,A5 Sportback quattro,2022,,,26.0,29.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12788,45,9.0,377,A5 Sportback S line quattro,2022,,,24.0,27.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12791,45,9.0,377,A6 Allroad quattro,2022,,,21.0,23.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12790,45,9.0,377,A6 quattro,2022,,,21.0,24.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12789,45,9.0,377,A6 quattro,2022,,,23.0,26.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
