LocationID,Borough,Zone,service_zone,Shape_Leng,Shape_Area
1,EWR,Newark Airport,EWR,0.116357453189,0.0007823067885
2,Queens,Jamaica Bay,Boro Zone,0.43346966679,0.00486634037837
3,Bronx,Allerton/Pelham Gardens,Boro Zone,0.0843411059012,0.000314414156821
4,Manhattan,Alphabet City,Yellow Zone,0.0435665270921,0.000111871946192
5,Staten Island,Arden Heights,Boro Zone,0.0921464898574,0.000497957489363
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,0.150490542523,0.000606460984581
7,Queens,Astoria,Boro Zone,0.107417171123,0.000389787989274
8,Queens,Astoria Park,Boro Zone,0.0275906911574,2.6587716279e-05
9,Queens,Auburndale,Boro Zone,0.0997840924705,0.000338443803197
10,Queens,Baisley Park,Boro Zone,0.0998394794152,0.000435823818081
11,Brooklyn,Bath Beach,Boro Zone,0.0792110389596,0.00026452053504
12,Manhattan,Battery Park,Yellow Zone,0.0366613013579,4.15116236727e-05
13,Manhattan,Battery Park City,Yellow Zone,0.0502813228631,0.000149358592917
14,Brooklyn,Bay Ridge,Boro Zone,0.175213698053,0.00138177826442
15,Queens,Bay Terrace/Fort Totten,Boro Zone,0.14433622262,0.000925219395547
16,Queens,Bayside,Boro Zone,0.141291873771,0.000871889446182
17,Brooklyn,Bedford,Boro Zone,0.093522632948,0.000322957654799
18,Bronx,Bedford Park,Boro Zone,0.0697995498569,0.000148850163948
19,Queens,Bellerose,Boro Zone,0.101824875452,0.000546661094782
20,Bronx,Belmont,Boro Zone,0.0514401924362,0.000134512633032
21,Brooklyn,Bensonhurst East,Boro Zone,0.115973569062,0.000380251345507
22,Brooklyn,Bensonhurst West,Boro Zone,0.126170229196,0.000472062684608
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,0.290556028962,0.00219556576201
24,Manhattan,Bloomingdale,Yellow Zone,0.0469999619287,6.07235737749e-05
25,Brooklyn,Boerum Hill,Boro Zone,0.0471458199319,0.000124168267356
26,Brooklyn,Borough Park,Boro Zone,0.12354780707,0.000534039927626
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,0.202508808518,0.00134088762746
28,Queens,Briarwood/Jamaica Hills,Boro Zone,0.097960782214,0.000291203927662
29,Brooklyn,Brighton Beach,Boro Zone,0.0714083127733,0.000201673837402
30,Queens,Broad Channel,Boro Zone,0.0945097669793,0.000145862107626
31,Bronx,Bronx Park,Boro Zone,0.0964245666516,0.000333975927329
32,Bronx,Bronxdale,Boro Zone,0.05426721601,0.000150879171971
33,Brooklyn,Brooklyn Heights,Boro Zone,0.0532702931967,0.000147416802448
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0.0657059323545,0.000173946146651
35,Brooklyn,Brownsville,Boro Zone,0.085787918592,0.000323825195932
36,Brooklyn,Bushwick North,Boro Zone,0.0870507867063,0.000247666139269
37,Brooklyn,Bushwick South,Boro Zone,0.142810040466,0.000452062644782
38,Queens,Cambria Heights,Boro Zone,0.0832175685234,0.000327392684821
39,Brooklyn,Canarsie,Boro Zone,0.132369620757,0.00090028293862
40,Brooklyn,Carroll Gardens,Boro Zone,0.0518506648762,0.000108949211644
41,Manhattan,Central Harlem,Boro Zone,0.052793109453,0.000143093037737
42,Manhattan,Central Harlem North,Boro Zone,0.0927092274616,0.000263896952605
43,Manhattan,Central Park,Yellow Zone,0.0997386183576,0.000379662912054
44,Staten Island,Charleston/Tottenville,Boro Zone,0.235688967594,0.00194465649192
45,Manhattan,Chinatown,Yellow Zone,0.0459068626235,9.13594688556e-05
46,Bronx,City Island,Boro Zone,0.134475429879,0.000926391677672
47,Bronx,Claremont/Bathgate,Boro Zone,0.0898275563294,0.000163198117339
48,Manhattan,Clinton East,Yellow Zone,0.0437467441431,9.42538425377e-05
49,Brooklyn,Clinton Hill,Boro Zone,0.0752900183427,0.000203185525471
50,Manhattan,Clinton West,Yellow Zone,0.0557479867536,0.000173249283326
51,Bronx,Co-Op City,Boro Zone,0.0953613442277,0.000395756553505
52,Brooklyn,Cobble Hill,Boro Zone,0.0289076710093,4.52027509603e-05
53,Queens,College Point,Boro Zone,0.161500913385,0.000947530980821
54,Brooklyn,Columbia Street,Boro Zone,0.0762192448554,0.000132452130536
55,Brooklyn,Coney Island,Boro Zone,0.149956807524,0.000736274713586
56,Queens,Corona,Boro Zone,0.0568478126677,0.000180907844436
56,Queens,Corona,Boro Zone,0.0192705048557,1.80259807917e-05
58,Bronx,Country Club,Boro Zone,0.0598554094851,0.000204980931361
59,Bronx,Crotona Park,Boro Zone,0.0377948070893,6.28765230648e-05
60,Bronx,Crotona Park East,Boro Zone,0.0786482878226,0.000161833284912
61,Brooklyn,Crown Heights North,Boro Zone,0.117310808097,0.000510772092295
62,Brooklyn,Crown Heights South,Boro Zone,0.0822593359838,0.000158238169004
63,Brooklyn,Cypress Hills,Boro Zone,0.119100721883,0.000353190910142
64,Queens,Douglaston,Boro Zone,0.18445188474,0.00105790284614
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,0.0446070683658,8.1803882541e-05
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0.0546334593634,0.000108378855948
67,Brooklyn,Dyker Heights,Boro Zone,0.0997470781551,0.000394282272487
68,Manhattan,East Chelsea,Yellow Zone,0.0493373795569,0.000111073378655
69,Bronx,East Concourse/Concourse Village,Boro Zone,0.0789896450483,0.00019905160381
70,Queens,East Elmhurst,Boro Zone,0.0638403183367,0.000195458476728
71,Brooklyn,East Flatbush/Farragut,Boro Zone,0.0931694551828,0.000382572587364
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,0.0952020695166,0.000323532461947
73,Queens,East Flushing,Boro Zone,0.0853020209129,0.000291799754395
74,Manhattan,East Harlem North,Boro Zone,0.11029093625,0.000295038418204
75,Manhattan,East Harlem South,Boro Zone,0.0876638997685,0.00024056392715
76,Brooklyn,East New York,Boro Zone,0.241203016269,0.00126660143241
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,0.075461081444,0.000191917981315
78,Bronx,East Tremont,Boro Zone,0.0935944495806,0.000191114419551
79,Manhattan,East Village,Yellow Zone,0.0426249113144,0.000107893068218
80,Brooklyn,East Williamsburg,Boro Zone,0.117212621448,0.00040732245622
81,Bronx,Eastchester,Boro Zone,0.197592771731,0.00039956655019
82,Queens,Elmhurst,Boro Zone,0.119875649697,0.000323601079994
83,Queens,Elmhurst/Maspeth,Boro Zone,0.105984933269,0.000217463718718
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,0.233623987032,0.00207375572052
85,Brooklyn,Erasmus,Boro Zone,0.0574751473562,0.000143637804933
86,Queens,Far Rockaway,Boro Zone,0.134245282582,0.000623278815249
87,Manhattan,Financial District North,Yellow Zone,0.0369015496117,6.72050210692e-05
88,Manhattan,Financial District South,Yellow Zone,0.0352046035327,5.72999455414e-05
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,0.122794569553,0.000447548142373
90,Manhattan,Flatiron,Yellow Zone,0.0307591620819,5.53132476305e-05
91,Brooklyn,Flatlands,Boro Zone,0.124996624585,0.000537330013243
92,Queens,Flushing,Boro Zone,0.117830066799,0.000374946617289
93,Queens,Flushing Meadows-Corona Park,Boro Zone,0.170998027597,0.000594278183978
94,Bronx,Fordham South,Boro Zone,0.0498326083147,6.25819407393e-05
95,Queens,Forest Hills,Boro Zone,0.113629605476,0.00057277033803
96,Queens,Forest Park/Highland Park,Boro Zone,0.185180248095,0.000547566253402
97,Brooklyn,Fort Greene,Boro Zone,0.0624760147423,0.000163303970435
98,Queens,Fresh Meadows,Boro Zone,0.121661018278,0.000485773020954
99,Staten Island,Freshkills Park,Boro Zone,0.1833714893,0.00121016463877
100,Manhattan,Garment District,Yellow Zone,0.0248131090342,3.74700210291e-05
101,Queens,Glen Oaks,Boro Zone,0.101709836277,0.000452342528877
102,Queens,Glendale,Boro Zone,0.136900484646,0.000296595466345
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0.0143055167343,6.33056361314e-06
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0.0212208330928,1.19205339715e-05
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0.0774253398314,0.000368636392805
106,Brooklyn,Gowanus,Boro Zone,0.0492110119798,0.000113616826567
107,Manhattan,Gramercy,Yellow Zone,0.0380413645908,7.46112192675e-05
108,Brooklyn,Gravesend,Boro Zone,0.11117141227,0.000352866009465
109,Staten Island,Great Kills,Boro Zone,0.178267819599,0.00116960076185
110,Staten Island,Great Kills Park,Boro Zone,0.103946292913,0.000525745098785
111,Brooklyn,Green-Wood Cemetery,Boro Zone,0.0599308800658,0.000208683276503
112,Brooklyn,Greenpoint,Boro Zone,0.107267875765,0.000462068671429
113,Manhattan,Greenwich Village North,Yellow Zone,0.032745350566,5.79634566998e-05
114,Manhattan,Greenwich Village South,Yellow Zone,0.0317270347711,4.70207704945e-05
115,Staten Island,Grymes Hill/Clifton,Boro Zone,0.116169413964,0.000373168991958
116,Manhattan,Hamilton Heights,Boro Zone,0.0681164844265,0.000260415337217
117,Queens,Hammels/Arverne,Boro Zone,0.169885857987,0.00090429427072
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,0.243966217692,0.00182693922711
119,Bronx,Highbridge,Boro Zone,0.0835070355744,0.000185779447534
120,Manhattan,Highbridge Park,Boro Zone,0.0832612702158,9.31462821313e-05
121,Queens,Hillcrest/Pomonok,Boro Zone,0.0969153373445,0.000384563286473
122,Queens,Hollis,Boro Zone,0.0665318439446,0.000226597104976
123,Brooklyn,Homecrest,Boro Zone,0.0834211389387,0.000296445173366
124,Queens,Howard Beach,Boro Zone,0.127724410062,0.000754837821479
125,Manhattan,Hudson Sq,Yellow Zone,0.0497322121757,7.64293209892e-05
126,Bronx,Hunts Point,Boro Zone,0.12994872606,0.0007032738273
127,Manhattan,Inwood,Boro Zone,0.0600188855815,0.000163195647796
128,Manhattan,Inwood Hill Park,Boro Zone,0.0702090290681,0.000207405982869
129,Queens,Jackson Heights,Boro Zone,0.0932727273403,0.00047398833179
130,Queens,Jamaica,Boro Zone,0.142028320665,0.000468322514327
131,Queens,Jamaica Estates,Boro Zone,0.116547120922,0.000423696152789
132,Queens,JFK Airport,Airports,0.24547851707,0.00203830095472
133,Brooklyn,Kensington,Boro Zone,0.065134863162,0.000157188987507
134,Queens,Kew Gardens,Boro Zone,0.0695878223284,0.000202375182143
135,Queens,Kew Gardens Hills,Boro Zone,0.121793045659,0.000467912240542
136,Bronx,Kingsbridge Heights,Boro Zone,0.0906287154122,0.000148524994129
137,Manhattan,Kips Bay,Yellow Zone,0.0461076242707,0.000116455098947
138,Queens,LaGuardia Airport,Airports,0.107466933508,0.000536797294367
139,Queens,Laurelton,Boro Zone,0.0932997884483,0.000446669880154
140,Manhattan,Lenox Hill East,Yellow Zone,0.0475842911325,0.000114203907779
141,Manhattan,Lenox Hill West,Yellow Zone,0.0415144638712,7.66545579019e-05
142,Manhattan,Lincoln Square East,Yellow Zone,0.0381758942321,7.56537920738e-05
143,Manhattan,Lincoln Square West,Yellow Zone,0.0541798538849,0.00015109426901
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,0.0276201668505,4.74789670369e-05
145,Queens,Long Island City/Hunters Point,Boro Zone,0.114313844981,0.000346641733797
146,Queens,Long Island City/Queens Plaza,Boro Zone,0.0471405215717,0.000104638923425
147,Bronx,Longwood,Boro Zone,0.0587654949268,0.000106418172757
148,Manhattan,Lower East Side,Yellow Zone,0.0391305015633,6.97489921327e-05
149,Brooklyn,Madison,Boro Zone,0.0836805821837,0.000270639618955
150,Brooklyn,Manhattan Beach,Boro Zone,0.089331491183,0.000332568036088
151,Manhattan,Manhattan Valley,Yellow Zone,0.0548899410999,0.000128848901918
152,Manhattan,Manhattanville,Boro Zone,0.0579094768782,0.000146637644064
153,Manhattan,Marble Hill,Boro Zone,0.024737239022,3.24684964817e-05
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,0.22733157076,0.00178968692433
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,0.169808473032,0.000868261018498
156,Staten Island,Mariners Harbor,Boro Zone,0.144476890476,0.0010521217443
157,Queens,Maspeth,Boro Zone,0.131300217777,0.000354370128323
158,Manhattan,Meatpacking/West Village West,Yellow Zone,0.0548099905515,0.000185568253002
159,Bronx,Melrose South,Boro Zone,0.064363233206,0.00017124910387
160,Queens,Middle Village,Boro Zone,0.14151914297,0.000571234977994
161,Manhattan,Midtown Center,Yellow Zone,0.0358039100611,7.19130682992e-05
162,Manhattan,Midtown East,Yellow Zone,0.0352698146219,4.78936962112e-05
163,Manhattan,Midtown North,Yellow Zone,0.0341768669752,4.08567804196e-05
164,Manhattan,Midtown South,Yellow Zone,0.0357716119908,5.56318237441e-05
165,Brooklyn,Midwood,Boro Zone,0.088608036213,0.000353959317019
166,Manhattan,Morningside Heights,Boro Zone,0.0688237542871,0.000255276270405
167,Bronx,Morrisania/Melrose,Boro Zone,0.0908159737292,0.000167529391193
168,Bronx,Mott Haven/Port Morris,Boro Zone,0.114517434155,0.000547058100444
169,Bronx,Mount Hope,Boro Zone,0.0601046580332,0.000146027537733
170,Manhattan,Murray Hill,Yellow Zone,0.0457690091051,7.43150675972e-05
171,Queens,Murray Hill-Queens,Boro Zone,0.107353876244,0.000520099538161
172,Staten Island,New Dorp/Midland Beach,Boro Zone,0.118476116148,0.000658402501406
173,Queens,North Corona,Boro Zone,0.0600639661414,0.000178329851357
174,Bronx,Norwood,Boro Zone,0.0678177559602,0.000155928664422
175,Queens,Oakland Gardens,Boro Zone,0.134897665102,0.000504920726134
176,Staten Island,Oakwood,Boro Zone,0.151995190703,0.000657782126267
177,Brooklyn,Ocean Hill,Boro Zone,0.0715805407056,0.000198894762248
178,Brooklyn,Ocean Parkway South,Boro Zone,0.0682528770739,0.000175805409143
179,Queens,Old Astoria,Boro Zone,0.0713808644377,0.000183893478476
180,Queens,Ozone Park,Boro Zone,0.0805277671523,0.000247682193353
181,Brooklyn,Park Slope,Boro Zone,0.0895372399547,0.000306890292807
182,Bronx,Parkchester,Boro Zone,0.0393606369479,9.10644156732e-05
183,Bronx,Pelham Bay,Boro Zone,0.0398262960348,9.51929451066e-05
184,Bronx,Pelham Bay Park,Boro Zone,0.260815683043,0.00198883363103
185,Bronx,Pelham Parkway,Boro Zone,0.0861619681636,0.000228537100218
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0.0246963902234,3.70729416953e-05
187,Staten Island,Port Richmond,Boro Zone,0.126868431324,0.000421195755741
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,0.0977983968367,0.000313003032771
189,Brooklyn,Prospect Heights,Boro Zone,0.0486743306502,0.000101427594033
190,Brooklyn,Prospect Park,Boro Zone,0.0743294660829,0.000270873666522
191,Queens,Queens Village,Boro Zone,0.130932637664,0.000688460603185
192,Queens,Queensboro Hill,Boro Zone,0.11196461971,0.000373808019026
193,Queens,Queensbridge/Ravenswood,Boro Zone,0.0655299584801,0.000145591657944
194,Manhattan,Randalls Island,Yellow Zone,0.0817938353532,0.000273481702719
195,Brooklyn,Red Hook,Boro Zone,0.131308244067,0.000801651953985
196,Queens,Rego Park,Boro Zone,0.0832421106332,0.0001974713336
197,Queens,Richmond Hill,Boro Zone,0.108568532229,0.000504689160432
198,Queens,Ridgewood,Boro Zone,0.134094242763,0.000499809882564
199,Bronx,Rikers Island,Boro Zone,0.0778085005169,0.000288747549303
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,0.112661735435,0.000744643168558
201,Queens,Rockaway Park,Boro Zone,0.130404117686,0.000619350747819
202,Manhattan,Roosevelt Island,Boro Zone,0.0699215712618,0.000106175396322
203,Queens,Rosedale,Boro Zone,0.189937815868,0.000615129861659
204,Staten Island,Rossville/Woodrow,Boro Zone,0.101912418311,0.000641384265972
205,Queens,Saint Albans,Boro Zone,0.141953388327,0.000766216513505
206,Staten Island,Saint George/New Brighton,Boro Zone,0.212756793386,0.000944392507762
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,0.0283756831492,4.47230848441e-05
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,0.214721009581,0.00202032598969
209,Manhattan,Seaport,Yellow Zone,0.0306953113473,3.88703351209e-05
210,Brooklyn,Sheepshead Bay,Boro Zone,0.114851983372,0.000453155131253
211,Manhattan,SoHo,Yellow Zone,0.0252345082132,3.97291966087e-05
212,Bronx,Soundview/Bruckner,Boro Zone,0.0671290653429,0.000161276191858
213,Bronx,Soundview/Castle Hill,Boro Zone,0.159958783822,0.000904077906339
214,Staten Island,South Beach/Dongan Hills,Boro Zone,0.135300314246,0.000811976523012
215,Queens,South Jamaica,Boro Zone,0.103556453625,0.000395647022725
216,Queens,South Ozone Park,Boro Zone,0.116797554681,0.000816076647781
217,Brooklyn,South Williamsburg,Boro Zone,0.0553905251285,0.000114733270758
218,Queens,Springfield Gardens North,Boro Zone,0.0837008281049,0.000281293736407
219,Queens,Springfield Gardens South,Boro Zone,0.155126669675,0.000428176336771
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,0.106015943267,0.000313035744467
221,Staten Island,Stapleton,Boro Zone,0.166218220846,0.000890111567051
222,Brooklyn,Starrett City,Boro Zone,0.0483893527976,0.000130268343918
223,Queens,Steinway,Boro Zone,0.166021925275,0.00076436070058
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,0.0440204462769,9.84786989135e-05
225,Brooklyn,Stuyvesant Heights,Boro Zone,0.0887992073281,0.000310835395162
226,Queens,Sunnyside,Boro Zone,0.168957762041,0.00076194414504
227,Brooklyn,Sunset Park East,Boro Zone,0.0828301570789,0.000268316529534
228,Brooklyn,Sunset Park West,Boro Zone,0.177685177706,0.000993414783816
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,0.0425252900116,9.47058230931e-05
230,Manhattan,Times Sq/Theatre District,Yellow Zone,0.0310283096779,5.60914463266e-05
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,0.0634201165587,0.000166929752992
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,0.0614709085331,0.000216049973456
233,Manhattan,UN/Turtle Bay South,Yellow Zone,0.048035918294,0.000116188094682
234,Manhattan,Union Sq,Yellow Zone,0.0360721994984,7.31054382894e-05
235,Bronx,University Heights/Morris Heights,Boro Zone,0.0761668426519,0.000212844547337
236,Manhattan,Upper East Side North,Yellow Zone,0.0442519223099,0.000102864345211
237,Manhattan,Upper East Side South,Yellow Zone,0.0422126003388,9.59873206621e-05
238,Manhattan,Upper West Side North,Yellow Zone,0.0601093114033,0.000184763693765
239,Manhattan,Upper West Side South,Yellow Zone,0.0636261152958,0.000204715440774
240,Bronx,Van Cortlandt Park,Boro Zone,0.146069764379,0.000722130920707
241,Bronx,Van Cortlandt Village,Boro Zone,0.0687645777649,0.00025467697592
242,Bronx,Van Nest/Morris Park,Boro Zone,0.138136446433,0.000360072450014
243,Manhattan,Washington Heights North,Boro Zone,0.0943314999364,0.000438377341503
244,Manhattan,Washington Heights South,Boro Zone,0.0805686044599,0.000359702747951
245,Staten Island,West Brighton,Boro Zone,0.0959830596604,0.000466175414294
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,0.0694671937437,0.000281298327076
247,Bronx,West Concourse,Boro Zone,0.0929678582271,0.000205617157843
248,Bronx,West Farms/Bronx River,Boro Zone,0.0569191167671,0.000149592769799
249,Manhattan,West Village,Yellow Zone,0.03638434365,7.22155957729e-05
250,Bronx,Westchester Village/Unionport,Boro Zone,0.0796263465454,0.000240975845956
251,Staten Island,Westerleigh,Boro Zone,0.1377111611,0.000625754983157
252,Queens,Whitestone,Boro Zone,0.158004373564,0.00102526406057
253,Queens,Willets Point,Boro Zone,0.0360514998192,7.83395761191e-05
254,Bronx,Williamsbridge/Olinville,Boro Zone,0.0858863754861,0.000360040216032
255,Brooklyn,Williamsburg (North Side),Boro Zone,0.0623841997664,0.000172309184842
256,Brooklyn,Williamsburg (South Side),Boro Zone,0.0679149669603,0.000168611097013
257,Brooklyn,Windsor Terrace,Boro Zone,0.0586690259793,0.00013890947321
258,Queens,Woodhaven,Boro Zone,0.0890133787693,0.000366209617143
259,Bronx,Woodlawn/Wakefield,Boro Zone,0.126750305191,0.000394552487366
260,Queens,Woodside,Boro Zone,0.133514154636,0.000422345326907
261,Manhattan,World Trade Center,Yellow Zone,0.0271204563616,3.43423231652e-05
262,Manhattan,Yorkville East,Yellow Zone,0.0490636231541,0.000122330270966
263,Manhattan,Yorkville West,Yellow Zone,0.0370166252994,6.57697664169e-05
