año,mes,dia,taxi,viajes_totales,distancia_total,distancia_prom,tarifa_total,tarifa_prom
2019,1,1,green,15433,59278.51,3.841023132249077,269440.34,17.458714443076527
2019,1,2,green,19900,79372.41,3.988563316582914,364589.71,18.32109095477387
2019,1,3,green,21931,85921.28,3.917800373899959,401273.7,18.297099995440245
2019,1,4,green,23123,88613.15,3.832251437962202,416698.39,18.02094840634866
2019,1,5,green,20810,71967.18,3.458297933685728,337079.39,16.197952426717926
2019,1,6,green,18745,71078.17,3.791846892504668,319708.13,17.05564843958389
2019,1,7,green,21365,83368.37,3.9021001638193296,390214.68,18.264202199859582
2019,1,8,green,21082,84808.8,4.022806185371407,396954.35,18.82906507921449
2019,1,9,green,22977,91291.09,3.97315097706402,430729.67,18.74612307960134
2019,1,10,green,24703,95124.03,3.8507076063636,453771.18,18.36907177265919
2019,1,11,green,25666,94124.97,3.6673018779708566,458387.58,17.85972025247409
2019,1,12,green,21973,77407.71,3.522855777545169,363644.36,16.54959996359168
2019,1,13,green,18507,69401.15,3.749994596639109,316179.39,17.084313502998867
2019,1,14,green,21534,83672.57,3.88560276771617,396411.78,18.408645862357204
2019,1,15,green,22453,91347.33,4.068379726539884,429841.52,19.14405736427204
2019,1,16,green,23512,94981.99,4.039723970738347,446663.89,18.997273307247365
2019,1,17,green,24640,95528.44,3.876965909090909,459406.4,18.64474025974026
2019,1,18,green,23966,90188.6,3.76318951848452,433421.22,18.08483768672286
2019,1,19,green,21318,72358.97,3.3942663476874,340901.93,15.991271695280982
2019,1,20,green,16122,52871.24,3.279446718769383,246940.08,15.316963155935987
2019,1,21,green,14340,49815.84,3.4739079497907945,230719.2,16.089205020920502
2019,1,22,green,21585,86147.71,3.991091498725968,408520.17,18.92611396803336
2019,1,23,green,23063,91931.32,3.986095477604822,435102.41,18.86582014482071
2019,1,24,green,23776,91794.46,3.860803331090175,445612.21,18.742101699192464
2019,1,25,green,26062,99217.3,3.806971836390147,480529.14,18.437922645998004
2019,1,26,green,23570,86134.07,3.6543941450997033,404367.91,17.15604200254561
2019,1,27,green,19355,74250.11,3.836223714802377,338866.55,17.507959183673467
2019,1,28,green,21998,89773.35,4.080977816165106,418684.3,19.03283480316392
2019,1,29,green,23165,90048.82,3.887279084826247,433358.05,18.707448737319236
2019,1,30,green,22780,83763.44,3.677060579455663,407870.91,17.904780948200177
2019,1,31,green,22538,82529.62,3.6617987399059366,402145.93,17.84301757032567
2019,2,1,green,26773,98438.73,3.676791170208792,481382.22,17.980137451910508
2019,2,2,green,23800,83219.72,3.4966268907563025,403455.3,16.951903361344538
2019,2,3,green,19806,77452.38,3.910551348076341,360296.26,18.191268302534585
2019,2,4,green,21861,90879.92,4.157171218151045,432353.55,19.77739124468231
2019,2,5,green,21655,92652.76,4.278585084276148,435737.86,20.121812976217964
2019,2,6,green,24371,97424.9,3.997574986664478,473464.74,19.427382544827868
2019,2,7,green,23848,97431.8,4.085533378061053,472980.41,19.83312688695069
2019,2,8,green,26061,99668.45,3.824429223744292,495145.93,18.99949848432524
2019,2,9,green,23917,85476.55,3.573882593970816,413085.47,17.27162562194255
2019,2,10,green,18997,73334.45,3.860317418539769,340904.42,17.945171342843604
2019,2,11,green,22001,87925.82,3.996446525157948,422235.4,19.191645834280266
2019,2,12,green,18380,68347.47,3.718578346028292,334200.0,18.18280739934712
2019,2,13,green,22976,90472.0,3.937674094707521,446408.75,19.429350191504177
2019,2,14,green,24520,96875.62,3.950881729200652,482565.47,19.68048409461664
2019,2,15,green,24314,95583.58,3.9312157604672207,473657.98,19.480874393353623
2019,2,16,green,21671,80504.62,3.71485487517881,382247.4,17.638659960315632
2019,2,17,green,18461,72620.25,3.933711608255241,335134.92,18.15367098207031
2019,2,18,green,15769,58179.79,3.689504090303761,274114.16000000003,17.38310355761304
2019,2,19,green,21865,92996.57,4.253216098788018,438301.98,20.04582574891379
2019,2,20,green,20438,78733.01,3.852285448674038,379067.95,18.54721352382816
2019,2,21,green,21867,87533.81,4.003009557781131,423631.14,19.37307998353684
2019,2,22,green,23820,93558.06,3.927710327455919,453824.93,19.05226406381192
2019,2,23,green,22112,82310.4,3.7224312590448623,391031.33,17.684123100578873
2019,2,24,green,17302,67768.98,3.916829268292682,314225.3,18.16121257658074
2019,2,25,green,21597,85807.55,3.9731235819789785,417002.79,19.308366439783303
2019,2,26,green,22479,90661.9,4.033182081053427,439957.84,19.57194893011255
2019,2,27,green,23011,89487.3,3.888892268914867,439525.97,19.100689670157752
2019,2,28,green,21840,84932.25,3.8888392857142855,404768.45,18.53335393772894
2019,3,1,green,23879,88419.81,3.702827170317015,439331.12,18.39822103103145
2019,3,2,green,19410,67295.18,3.4670365790829467,325081.85,16.74816331787738
2019,3,3,green,17884,66923.97,3.7421141802728695,312612.56,17.480013419816597
2019,3,4,green,16597,61420.83,3.7007188046032415,280446.99,16.89745074411038
2019,3,5,green,21753,84511.06,3.885030110789317,397516.35,18.274093228520204
2019,3,6,green,22745,86042.62,3.782924598812926,405371.39,17.822439657067488
2019,3,7,green,23339,88427.06,3.788811003042118,420145.02,18.001843266635248
2019,3,8,green,23422,86847.87,3.707961318418581,418369.48,17.86224404406114
2019,3,9,green,21722,76186.97,3.5073644231654546,359147.79,16.533826995672587
2019,3,10,green,16516,60118.61,3.6400224025187695,272085.42,16.47405061758295
2019,3,11,green,20157,79724.16,3.9551599940467335,389262.11,19.31151014535893
2019,3,12,green,20841,81860.05,3.927836956000192,400718.3,19.227402715800583
2019,3,13,green,22208,90266.38,4.064588436599424,438770.33,19.757309528097984
2019,3,14,green,22848,95723.04,4.189558823529412,464418.06,20.32642069327731
2019,3,15,green,23161,88630.11,3.826696170286257,442841.53,19.12013859505203
2019,3,16,green,22059,83019.23,3.7635083186001177,398967.96,18.08640282877737
2019,3,17,green,18321,72522.08,3.9584127503957207,337916.72000000003,18.44422902679985
2019,3,18,green,19420,79517.71,4.0946297631307935,378785.84,19.50493511843461
2019,3,19,green,20198,84361.62,4.176731359540549,406548.21,20.128141895237157
2019,3,20,green,20855,85631.38,4.106035962598898,410560.18,19.686414768640613
2019,3,21,green,21791,81423.09,3.7365467394796017,409645.18,18.79882428525538
2019,3,22,green,22563,83171.41,3.6861857908966007,415287.85,18.40570181270221
2019,3,23,green,21172,80239.71,3.7898975061401856,384268.3,18.14983468732288
2019,3,24,green,17257,69896.38,4.050320449672597,325057.39,18.83626296575303
2019,3,25,green,19415,79273.52,4.083106876126706,379027.46,19.522403296420293
2019,3,26,green,19890,78593.44,3.9514047259929614,381879.78,19.199586726998493
2019,3,27,green,20945,81887.12,3.909626163762234,399304.78,19.06444402005252
2019,3,28,green,21501,85745.88,3.987994976977815,419408.45,19.50646249011674
2019,3,29,green,21788,83312.33,3.823771342023132,409623.37,18.80041169451074
2019,3,30,green,21482,78704.27,3.663731030630296,380041.35,17.691153058374454
2019,3,31,green,17848,67487.93,3.7812600851636033,316664.08,17.742272523532048
2019,4,1,green,19835,75686.06,3.815783211494833,370341.46,18.67110965465087
