Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,PHEV Total Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes,Drivetrain
Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,,,,,,21.0,22.0,21.0,Auto,,SI,3.5L,6,,,"",AWD
Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,,,,,,29.0,38.0,32.0,Auto,,SI,2.0L,4,,,"",FWD
Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,,,,,,28.0,36.0,31.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,,,,,,24.0,30.0,26.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,,,,,,23.0,31.0,26.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,,,,,,21.0,28.0,23.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,23.0,33.0,26.0,Auto,,SI,2.0L,4,,,"",AWD
Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0,Auto,,SI,3.0L,6,,,"",AWD
Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,26,410,,,70.0,25.0,31.0,27.0,Auto,,SI,2.0L,4,,,"",AWD
