Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain
13044,45,9,365,27,NSX,2022,"","","",21.0,22.0,21.0,Auto,SI,3.5L,6,3.5L V6,Acura,http://www.acura.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12854,45,9,377,27,A3 ,2022,"","","",29.0,38.0,32.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",FWD
12842,45,9,377,27,A3 quattro,2022,"","","",28.0,36.0,31.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12783,45,9,377,27,A4 allroad quattro,2022,"","","",24.0,30.0,26.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12782,45,9,377,27,A4 quattro,2022,"","","",26.0,34.0,29.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12784,45,9,377,27,A4 S line quattro,2022,"","","",24.0,31.0,27.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12786,45,9,377,27,A5 Cabriolet quattro,2022,"","","",23.0,31.0,26.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12785,45,9,377,27,A5 Coupe quattro,2022,"","","",24.0,31.0,27.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12787,45,9,377,27,A5 Sportback quattro,2022,"","","",26.0,34.0,29.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12788,45,9,377,27,A5 Sportback S line quattro,2022,"","","",24.0,31.0,27.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12791,45,9,377,27,A6 Allroad quattro,2022,"","","",21.0,28.0,23.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12790,45,9,377,27,A6 quattro,2022,"","","",21.0,30.0,24.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12789,45,9,377,27,A6 quattro,2022,"","","",23.0,33.0,26.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12794,45,9,377,27,A7 quattro,2022,"","","",21.0,30.0,24.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12831,57,"",377,27,A7 TFSI e quattro,2022,"","",70.0,25.0,31.0,27.0,Auto,SI,2.0L,4,"2.0L I4;
105 kW electric motor",Audi,http://progress.audiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,"",26,410,Blended,"",AWD
12928,45,9,377,27,A8L quattro,2022,"","","",19.0,28.0,22.0,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
12949,41,"",377,27,e-tron GT,2022,81.0,83.0,82.0,"","","",Auto,e-motor,175 kW electric motor,"","175 kW electric motor;
129 Ah battery",Audi,http://progress.audiusa.com/,Sedan/Wagon,ELEC,Electric,"",238,"","","",AWD
13002,41,"",377,29,e-tron quattro,2022,78.0,77.0,78.0,"","","",Auto,e-motor,141 kW and 172 kW electric motor,"","141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",222,"","","",AWD
12950,41,"",377,29,"e-tron S (20"" wheels)",2022,72.0,75.0,73.0,"","","",Auto,e-motor,138kW electric motor,"","138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",208,"","","",AWD
12951,41,"",377,29,"e-tron S (21"" or 22"" wheels)",2022,62.0,64.0,63.0,"","","",Auto,e-motor,138kW electric motor,"","138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",181,"","","",AWD
13001,41,"",377,29,e-tron Sportback quattro,2022,76.0,78.0,77.0,"","","",Auto,e-motor,141 kW and 172 kW electric motor,"","141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",218,"","","",AWD
12952,41,"",377,29,"e-tron S Sportback (20"" wheels)",2022,73.0,78.0,75.0,"","","",Auto,e-motor,138kW electric motor,"","138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",212,"","","",AWD
12953,41,"",377,29,"e-tron S Sportback (21"" or 22"" wheels)",2022,64.0,66.0,65.0,"","","",Auto,e-motor,157kW electric motor,"","157kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",185,"","","",AWD
12954,41,"",377,29,Q4 e-tron quattro,2022,100.0,89.0,95.0,"","","",Auto,e-motor,80 kW and 150 kW electric motor,"","80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",241,"","","",AWD
12955,41,"",377,29,Q4 e-tron Sportback quattro,2022,100.0,89.0,95.0,"","","",Auto,e-motor,80 kW and 150 kW electric motor,"","80 kW and 150 kW electric motors;
234 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,"",241,"","","",AWD
13023,45,9,377,29,Q5 quattro,2022,"","","",23.0,28.0,25.0,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,SUV,HYBR,Hybrid Electric,Hybrid Electric,"","","","",AWD
